Month,Year,country,NPS,rating,NPS_Category
1,2020.0,1,69.48130277442702,9.071170084439084,Promoter
1,2020.0,2,76.2532981530343,9.20580474934037,Promoter
1,2020.0,3,72.5925925925926,9.125925925925927,Promoter
1,2020.0,4,0.0,7.5,Detractor
1,2020.0,5,50.0,8.666666666666666,Passive
1,2020.0,6,0.0,7.0,Passive
1,2020.0,7,100.0,9.8,Promoter
1,2020.0,8,100.0,9.666666666666666,Promoter
1,2020.0,9,100.0,10.0,Promoter
1,2020.0,10,100.0,10.0,Promoter
1,2020.0,11,0.0,8.0,Passive
1,2020.0,12,0.0,8.0,Passive
1,2020.0,13,83.33333333333334,9.666666666666666,Promoter
1,2020.0,14,100.0,9.5,Promoter
1,2020.0,15,100.0,9.0,Promoter
1,2020.0,16,100.0,9.5,Promoter
1,2020.0,17,0.0,7.75,Passive
1,2020.0,18,-20.0,7.1,Detractor
1,2020.0,19,50.0,9.0,Passive
1,2020.0,20,33.33333333333333,8.333333333333334,Promoter
1,2020.0,21,75.0,9.0,Promoter
1,2020.0,22,-100.0,5.0,Detractor
1,2020.0,23,0.0,6.5,Detractor
1,2020.0,24,0.0,7.0,Passive
1,2020.0,25,0.0,8.0,Passive
1,2020.0,26,100.0,10.0,Promoter
1,2020.0,27,100.0,10.0,Promoter
1,2020.0,28,100.0,10.0,Promoter
1,2020.0,29,0.0,7.0,Passive
1,2020.0,30,100.0,9.0,Promoter
1,2020.0,999,-100.0,3.0,Detractor
1,2021.0,1,59.02668759811617,8.89010989010989,Promoter
1,2021.0,2,12.987012987012982,7.922077922077922,Passive
1,2021.0,3,100.0,10.0,Promoter
1,2021.0,46,-12.5,7.34375,Passive
1,2021.0,54,0.0,7.5,Passive
1,2021.0,55,100.0,9.5,Promoter
1,2021.0,56,20.0,7.6,Passive
1,2022.0,1,72.5400457665904,9.132723112128147,Promoter
1,2022.0,2,65.21739130434781,8.753623188405797,Promoter
1,2022.0,3,78.84615384615384,9.307692307692308,Promoter
1,2022.0,17,100.0,9.0,Promoter
1,2022.0,34,0.0,7.0,Passive
1,2022.0,53,100.0,10.0,Promoter
1,2023.0,1,68.36734693877553,9.0,Promoter
1,2023.0,2,77.63157894736842,9.144736842105264,Promoter
1,2023.0,3,72.72727272727273,9.363636363636363,Promoter
1,2023.0,5,0.0,8.0,Passive
1,2023.0,18,-25.0,6.75,Passive
1,2023.0,81,0.0,7.5,Detractor
1,2023.0,82,100.0,9.0,Promoter
1,2024.0,1,69.06906906906907,9.11111111111111,Promoter
1,2024.0,2,51.06382978723405,8.638297872340425,Promoter
1,2024.0,3,73.33333333333334,9.1,Promoter
1,2024.0,5,20.0,7.733333333333333,Promoter
1,2024.0,8,-50.0,7.0,Detractor
1,2024.0,15,-50.0,5.0,Detractor
1,2024.0,16,100.0,10.0,Promoter
1,2024.0,17,0.0,7.0,Passive
1,2024.0,19,100.0,10.0,Promoter
1,2024.0,25,100.0,9.0,Promoter
1,2024.0,36,100.0,10.0,Promoter
1,2024.0,37,100.0,10.0,Promoter
1,2024.0,65,0.0,7.333333333333333,Detractor
1,2024.0,82,100.0,10.0,Promoter
1,2024.0,88,100.0,10.0,Promoter
1,2024.0,89,-100.0,6.0,Detractor
1,2024.0,96,100.0,10.0,Promoter
1,2024.0,97,100.0,10.0,Promoter
2,2020.0,1,63.33830104321909,8.950819672131148,Promoter
2,2020.0,2,57.89473684210526,8.81578947368421,Promoter
2,2020.0,3,53.46534653465346,8.683168316831683,Promoter
2,2020.0,4,50.0,8.5,Passive
2,2020.0,5,-66.66666666666666,6.0,Detractor
2,2020.0,7,100.0,10.0,Promoter
2,2020.0,12,-33.33333333333333,6.666666666666667,Passive
2,2020.0,13,-100.0,6.0,Detractor
2,2020.0,14,0.0,7.0,Passive
2,2020.0,16,100.0,10.0,Promoter
2,2020.0,17,16.666666666666664,7.666666666666667,Passive
2,2020.0,18,37.5,8.25,Passive
2,2020.0,20,66.66666666666666,8.333333333333334,Promoter
2,2020.0,21,0.0,6.75,Passive
2,2020.0,23,75.0,9.5,Promoter
2,2020.0,30,75.0,9.0,Promoter
2,2020.0,31,-100.0,4.0,Detractor
2,2020.0,32,-100.0,6.0,Detractor
2,2020.0,33,0.0,7.5,Detractor
2,2020.0,34,0.0,7.666666666666667,Passive
2,2020.0,35,100.0,9.0,Promoter
2,2020.0,36,0.0,8.0,Passive
2,2020.0,37,66.66666666666666,8.666666666666666,Promoter
2,2020.0,39,100.0,10.0,Promoter
2,2020.0,40,0.0,7.0,Passive
2,2020.0,41,100.0,10.0,Promoter
2,2020.0,42,100.0,9.0,Promoter
2,2020.0,43,100.0,10.0,Promoter
2,2020.0,44,0.0,8.0,Passive
2,2020.0,45,100.0,10.0,Promoter
2,2020.0,46,100.0,9.0,Promoter
2,2020.0,47,100.0,10.0,Promoter
2,2020.0,48,0.0,7.0,Passive
2,2021.0,1,71.13095238095238,9.160714285714286,Promoter
2,2021.0,2,17.391304347826086,8.0,Passive
2,2021.0,4,100.0,10.0,Promoter
2,2021.0,5,0.0,7.0,Passive
2,2021.0,14,100.0,9.0,Promoter
2,2021.0,15,100.0,10.0,Promoter
2,2021.0,45,100.0,10.0,Promoter
2,2021.0,46,-9.090909090909086,7.363636363636363,Passive
2,2021.0,54,29.411764705882355,8.0,Passive
2,2021.0,65,25.0,7.625,Passive
2,2022.0,1,72.58687258687259,9.21042471042471,Promoter
2,2022.0,2,54.45544554455444,8.683168316831683,Promoter
2,2022.0,3,83.33333333333334,9.5,Promoter
2,2022.0,14,0.0,8.0,Passive
2,2022.0,17,0.0,8.0,Passive
2,2022.0,21,100.0,10.0,Promoter
2,2022.0,23,100.0,10.0,Promoter
2,2022.0,24,100.0,9.0,Promoter
2,2022.0,28,0.0,7.0,Passive
2,2022.0,30,66.66666666666666,9.0,Promoter
2,2022.0,33,0.0,8.0,Passive
2,2022.0,56,0.0,8.0,Passive
2,2022.0,999,100.0,10.0,Promoter
2,2023.0,1,62.730627306273064,8.907749077490775,Promoter
2,2023.0,2,55.12820512820513,8.782051282051283,Promoter
2,2023.0,3,49.99999999999999,8.444444444444445,Promoter
2,2023.0,5,-50.0,6.5,Detractor
2,2023.0,8,100.0,10.0,Promoter
2,2023.0,17,50.0,8.5,Passive
2,2023.0,18,36.36363636363637,8.363636363636363,Passive
2,2023.0,20,100.0,9.666666666666666,Promoter
2,2023.0,31,100.0,10.0,Promoter
2,2023.0,34,0.0,8.0,Passive
2,2023.0,54,0.0,8.0,Passive
2,2023.0,83,0.0,8.0,Passive
2,2024.0,1,65.40697674418604,8.898255813953488,Promoter
2,2024.0,2,51.96078431372549,8.568627450980392,Promoter
2,2024.0,3,55.357142857142854,8.732142857142858,Promoter
2,2024.0,4,100.0,9.0,Promoter
2,2024.0,5,0.0,8.0,Passive
2,2024.0,14,100.0,9.0,Promoter
2,2024.0,16,50.0,8.5,Passive
2,2024.0,18,0.0,8.0,Passive
2,2024.0,20,100.0,10.0,Promoter
2,2024.0,21,50.0,8.5,Passive
2,2024.0,28,100.0,9.0,Promoter
2,2024.0,46,100.0,10.0,Promoter
2,2024.0,50,0.0,7.0,Passive
2,2024.0,51,-100.0,5.0,Detractor
2,2024.0,53,100.0,9.333333333333334,Promoter
2,2024.0,54,0.0,8.0,Passive
2,2024.0,59,0.0,8.0,Passive
2,2024.0,65,100.0,10.0,Promoter
2,2024.0,78,0.0,8.0,Passive
2,2024.0,97,100.0,10.0,Promoter
2,2024.0,98,100.0,10.0,Promoter
2,2024.0,999,0.0,8.0,Passive
3,2020.0,1,68.81720430107526,9.068100358422939,Promoter
3,2020.0,2,69.6969696969697,9.151515151515152,Promoter
