Month,Year,Comments
1,2020,Jamaica is always beautiful place to visit.
1,2020,Beautiful country. Continue to promote love and peace.
1,2020,We did not tour Jamaica just enjoyed Sandals.
1,2020,Just love Jamaica. One Love.
1,2020,Clearer information could be given at the airport in regards to queing for security and passport checks ( departures and arrivals).
1,2020,Baggage claim services not that helpful.
1,2020,"People need to smile. Not friendly at all. Not happy very rude at hotel, airport, driver, everywhere."
1,2020,I had a great stay. We loved our stay in Jamaica.
1,2020,Attitude are rude.
1,2020,Food was amazing and people were great.
1,2020,Need better roads in Jamaica.
1,2020,I was very disappointed in the attitude of the workers in local shops and restaurants.
1,2020,The Jamaican women at restaurants and airports are extremely rude especially in Kingston.
1,2020,Make my country more attractive to tour.
1,2020,Thank you mon! Had a great time. Sandals staff was amazing.
1,2020,I love Jamaica's culture and hospitality.
1,2020,Fix immigration lines.
1,2020,Great place to visit.
1,2020,.
1,2020,I would have liked to see more of Jamaica.
1,2020,Do something about the trash as you are ruining your main income.
1,2020,Would be great if the tour guides or drivers were able to experience the tours themselves. They earn it and would make them more knowledge.
1,2020,Love Jamaica - airport is clean.
1,2020,We love Jamaica and we love Jamaicans more.
1,2020,Penalize begging and try to provide more jobs to teach independence.
1,2020,"Love the culture, people, food and vibes. We will be back soon."
1,2020,Only complaint is being at airport 3 hours before flight (2 is better).
1,2020,Educate local people not to bother and disrespect your beautiful island for leaving garbage everywhere.
1,2020,We have vacationed in Negril the last 38 years and enjoy coming here. Do not like all the drugs but vendors take no for an answer.
1,2020,"Lovely place, felt so relaxed. Will definitely come back."
1,2020,"Fun Holiday had a lot of drug deals going on at the beach, more than we have seen in the past."
1,2020,"Great island, lovely people."
1,2020,Update resort. Sunscape Cove.
1,2020,"Hotel food needs improvement, always cold."
1,2020,Make Jamaica please plastic free too much plastic.
1,2020,It would be nice if you could leave my resort at night times and find bars and restaurants and towns outside of the hotel. Also some nice beach bars would be good.
1,2020,"Better check in, better passport control."
1,2020,Can't wait to come back.
1,2020,We will be back.
1,2020,Airport is much more efficient than last time here.
1,2020,Loved our visit. Sweet people.
1,2020,Be nice to see more effort towards garbage clean up.
1,2020,Airport was much more efficient and much fatser then when we visited 5 years ago. There are also more attractions to check out.
1,2020,Need more atms for tourists. Maybe at the hotels.
1,2020,We love Jamaica.
1,2020,"Need better internet. Need to get crime under control. Basic education of generation 16-30, about Jamaican history."
1,2020,Airport customs and immigration is terrible and unorganized.
1,2020,The government to get crime under control.
1,2020,"Yes bad roads, dirty beaches. High prices, no jobs for people."
1,2020,Improvement on previous visit don't feel safe in Kingston outside resorts - very dirty.
