DATE,Forecast,Lower CI,Upper CI
2024-01-31,223369,174231,272507
2024-02-29,277626,224441,330811
2024-03-31,312971,259083,366858
2024-04-30,276771,219939,333602
2024-05-31,224531,167026,282035
2024-06-30,201010,143179,258841
2024-07-31,217232,159367,275096
2024-08-31,229180,171028,287332
2024-09-30,242545,184357,300733
2024-10-31,241969,183796,300143
2024-11-30,188230,129989,246472
2024-12-31,280390,222152,338628
2025-01-31,219401,141410,297392
2025-02-28,287749,206045,369453
2025-03-31,320627,238306,402947
2025-04-30,279265,194158,364373
2025-05-31,218290,132842,303738
2025-06-30,197463,111734,283192
2025-07-31,209084,123279,294888
2025-08-31,229604,143424,315784
2025-09-30,248320,162116,334524
2025-10-31,245539,159342,331736
2025-11-30,179310,92994,265625
2025-12-31,282822,196520,369125
